"Pair ID","Group","Round","Proposer","Offer A (€)","Offer B (€)","Response","Timestamp","","","","","",""
"Pair_H0xXi5","1","4","Person A","€300","€700","Too low - counteroffer","2026-01-07 18:09:44","","","","","",""
"Pair_H0xXi5","1","5","Person B","€260","€740","Accept - offer accepted","2026-01-07 18:10:02","","","","","",""
"Pair_ffioiR","1","1","Person B","€0","€1,000","Too low - counteroffer","2026-01-07 18:11:19","","","","","",""
"Pair_ffioiR","1","2","Person A","€900","€100","Too low - counteroffer","2026-01-07 18:11:46","","","","","",""
"Pair_ffioiR","1","3","Person B","€500","€500","Too low - counteroffer","2026-01-07 18:12:23","","","","","",""
"Pair_ffioiR","1","4","Person A","€800","€200","Too low - counteroffer","2026-01-07 18:12:49","","","","","",""
"Pair_ffioiR","1","5","Person B","€620","€380","Too low - counteroffer","2026-01-07 18:13:35","","","","","",""
"Pair_ffioiR","1","6","Person A","€750","€250","Too low - counteroffer","2026-01-07 18:14:01","","","","","",""
"Pair_ffioiR","1","7","Person B","€600","€400","Too low - counteroffer","2026-01-07 18:14:26","","","","","",""
"Pair_ffioiR","1","8","Person A","€700","€300","Accept - offer accepted","2026-01-07 18:14:41","","","","","",""
"Pair_wQWDhc","3","1","Person B","€201","€799","Too low - counteroffer","2026-01-07 18:15:59","","","","","",""
"Pair_wQWDhc","3","2","Person A","€500","€500","Better offer outside option","2026-01-07 18:16:25","","","","","",""
"Pair_wQWDhc","3","3","Person B","€250","€750","Accept - offer accepted","2026-01-07 18:16:45","","","","","",""
"Pair_4WTlvw","3","1","Person A","€600","€400","Too low - counteroffer","2026-01-07 18:17:58","","","","","",""
"Pair_4WTlvw","3","2","Person B","€500","€500","Too low - counteroffer","2026-01-07 18:18:10","","","","","",""
"Pair_4WTlvw","3","3","Person A","€580","€420","Accept - offer accepted","2026-01-07 18:18:23","","","","","",""
"Pair_F6czEc","4","1","Person B","€0","€1,000","Too low - counteroffer","2026-01-07 18:34:26","","","","","",""
"Pair_F6czEc","4","2","Person A","€750","€250","Too low - counteroffer","2026-01-07 18:34:43","","","","","",""
"Pair_F6czEc","4","3","Person B","€200","€800","Accept - offer accepted","2026-01-07 18:34:55","","","","","",""
"Pair_blXTlc","1","1","Person A","€500","€500","Too low - counteroffer","2026-01-07 19:53:41","","","","","",""
"Pair_blXTlc","1","2","Person B","€300","€700","Accept - offer accepted","2026-01-07 19:54:09","","","","","",""
"Pair_e2K7va","2","1","Person A","€800","€200","Too low - counteroffer","2026-01-07 20:51:24","","","","","",""
"Pair_e2K7va","2","2","Person B","€700","€300","Accept - offer accepted","2026-01-07 20:53:05","","","","","",""
"Pair_31eM6b","3","1","Person A","€500","€500","Accept - offer accepted","2026-01-07 20:50:12","","","","","",""
"Pair_GDvjrI","1","1","Person B","€250","€750","Too low - counteroffer","2026-01-10 13:03:22","","","","","",""
"Pair_GDvjrI","1","2","Person A","€300","€700","Too low - counteroffer","2026-01-10 13:04:03","","","","","",""
"Pair_GDvjrI","1","3","Person B","€200","€800","Too low - counteroffer","2026-01-10 13:04:24","","","","","",""
"Pair_GDvjrI","1","4","Person A","€300","€700","Too low - counteroffer","2026-01-10 13:04:48","","","","","",""
"Pair_GDvjrI","1","5","Person B","€220","€780","Too low - counteroffer","2026-01-10 13:05:22","","","","","",""
"Pair_GDvjrI","1","6","Person A","€275","€725","Accept - offer accepted","2026-01-10 13:06:10","","","","","",""
"Pair_VB6kmA","1","1","Person B","€386","€614","Too low - counteroffer","2026-01-10 13:34:46","","","","","",""
"Pair_VB6kmA","1","2","Person A","€300","€700","Too low - counteroffer","2026-01-10 13:35:05","","","","","",""
"Pair_VB6kmA","1","3","Person B","€350","€650","Accept - offer accepted","2026-01-10 13:35:30","","","","","",""
"Pair_dhi7g7","2","1","Person B","€150","€850","Too low - counteroffer","2026-01-10 13:39:38","","","","","",""
"Pair_dhi7g7","2","2","Person A","€200","€800","Better offer outside option","2026-01-10 13:39:54","","","","","",""
"Pair_dhi7g7","2","3","Person B","€170","€830","Accept - offer accepted","2026-01-10 13:40:12","","","","","",""
"Pair_OQ6T13","3","1","Person A","€300","€700","Too low - counteroffer","2026-01-10 13:43:57","","","","","",""
"Pair_OQ6T13","3","2","Person B","€200","€800","Better offer outside option","2026-01-10 13:44:22","","","","","",""
"Pair_OQ6T13","3","3","Person A","€250","€750","Accept - offer accepted","2026-01-10 13:44:34","","","","","",""
"Pair_00tUrS","3","1","Person A","€500","€500","Too low - counteroffer","2026-01-10 13:48:20","","","","","",""
"Pair_00tUrS","3","2","Person B","€600","€400","Too low - counteroffer","2026-01-10 13:50:02","","","","","",""
"Pair_00tUrS","3","3","Person A","€500","€500","Too low - counteroffer","2026-01-10 13:50:17","","","","","",""
"Pair_00tUrS","3","4","Person B","€250","€750","Too low - counteroffer","2026-01-10 13:50:45","","","","","",""
"Pair_00tUrS","3","5","Person A","€400","€600","Too low - counteroffer","2026-01-10 13:51:26","","","","","",""
"Pair_00tUrS","3","6","Person B","€350","€650","Accept - offer accepted","2026-01-10 13:51:49","","","","","",""
